,distance,Method,k,Precision,Recall,NDCG,F1,Time
0,cosine,Flat,1,0.9876,0.199436126,0.267099084,0.225895461,57.29928541
1,cosine,Flat,10,0.79134,0.391231838,0.541160412,0.266524657,41.69442129
2,cosine,Flat,100,0.563628,0.696674805,0.805752296,0.356147126,43.00607252
3,cosine,Flat,1000,0.259196,0.9998166,0.999879199,0.311327328,43.02992892
4,cosine,IVFFlat,1,0.9786,0.192245101,0.259523139,0.21844468,70.99324679
5,cosine,IVFFlat,10,0.78834,0.38185949,0.532171777,0.263403216,72.67527914
6,cosine,IVFFlat,100,0.561758,0.684943903,0.795798009,0.353968478,70.92312264
7,cosine,IVFFlat,1000,0.2587388,0.987259493,0.98970274,0.310615262,71.50742769
8,cosine,HNSW(lightweight),1,0.9998,0.200332084,0.268762687,0.227095029,62.75754714
9,cosine,HNSW(lightweight),10,0.79784,0.391890677,0.541981528,0.26771577,63.9789803
10,cosine,HNSW(lightweight),100,0.565958,0.697108274,0.806256945,0.357042816,62.00940084
11,cosine,HNSW(lightweight),1000,0.2593782,0.999788674,0.999798432,0.311509136,63.92932868
12,cosine,HNSW,1,0.9876,0.199436126,0.267099084,0.225895461,149.9043026
13,cosine,HNSW,10,0.79134,0.391231838,0.541160499,0.266524657,154.5540564
14,cosine,HNSW,100,0.563622,0.696673879,0.805750858,0.356145536,151.7762513
15,cosine,HNSW,1000,0.259196,0.9998166,0.999879272,0.311327328,152.373091
16,L2,Flat,1,1,0.059666966,0.110367546,0.074717641,42.19979024
17,L2,Flat,10,0.9394,0.175525216,0.325309101,0.167722037,45.07223797
18,L2,Flat,100,0.806106,0.484017705,0.659969693,0.398035182,43.14014506
19,L2,Flat,1000,0.4490602,0.9999998,0.99999999,0.516383094,44.56530213
20,L2,IVFFlat,1,0.9878,0.054505246,0.104046149,0.068957732,86.16410732
21,L2,IVFFlat,10,0.92924,0.164835961,0.315120863,0.161129075,82.17515159
22,L2,IVFFlat,100,0.797438,0.465148038,0.645699709,0.389820774,83.52891254
23,L2,IVFFlat,1000,0.4451702,0.974631331,0.983355651,0.511060362,83.04291201
24,L2,HNSW(lightweight),1,1,0.059666966,0.110367546,0.074717641,68.01022124
25,L2,HNSW(lightweight),10,0.93934,0.175400016,0.325229621,0.167666086,70.06691241
26,L2,HNSW(lightweight),100,0.806094,0.483882576,0.659885875,0.398018664,68.17084193
27,L2,HNSW(lightweight),1000,0.4490552,0.999857337,0.999913891,0.516376315,68.20918441
28,L2,HNSW,1,1,0.059666966,0.110367546,0.074717641,156.5137784
29,L2,HNSW,10,0.9394,0.175525216,0.325309101,0.167722037,152.258353
30,L2,HNSW,100,0.806106,0.484017719,0.659969719,0.398035204,151.6583006
31,L2,HNSW,1000,0.4490598,0.999999384,0.999999725,0.516382687,153.0714281